hashtag,frequency,category,sentiment
viral,475,Other,Neutral
fyp,452,Other,Neutral
reels,422,Other,Neutral
explore,385,Other,Neutral
trending,360,Other,Neutral
explorepage,316,Other,Neutral
instagram,284,Other,Neutral
love,277,Other,Positive
instagood,220,Other,Neutral
motivation,195,Other,Neutral
foryou,190,Other,Neutral
viralreels,181,Other,Neutral
gaming,169,Other,Neutral
trendingreels,161,Other,Neutral
funny,151,Other,Positive
nature,151,Other,Neutral
art,147,Other,Neutral
photography,145,Other,Neutral
memes,140,Other,Neutral
reelsinstagram,137,Other,Neutral
comedy,123,Other,Neutral
fashion,120,Fashion,Neutral
viralvideos,117,Other,Neutral
travel,116,Travel & Nature,Neutral
fitness,116,Fitness,Neutral
gym,109,Fitness,Neutral
news,105,News & Politics,Neutral
music,103,Other,Neutral
beauty,102,Fashion,Neutral
home,97,Other,Neutral
relatable,96,Other,Neutral
instadaily,92,Other,Neutral
food,92,Cooking,Neutral
meme,90,Other,Neutral
christmas,88,Other,Neutral
foryoupage,88,Other,Neutral
trend,87,Other,Neutral
lifestyle,86,Fashion,Neutral
like,85,Other,Neutral
reel,83,Other,Neutral
makeup,81,Beauty & Personal Care,Neutral
ai,81,Other,Neutral
homedecor,81,Home & Interior,Neutral
life,76,Other,Neutral
politics,74,Other,Neutral
funnyvideos,74,Other,Neutral
inspiration,74,Other,Neutral
diy,74,Other,Neutral
follow,74,Other,Neutral
india,73,Other,Neutral
business,73,Other,Neutral
fypシ,73,Other,Neutral
games,73,Gaming,Neutral
cars,72,Other,Neutral
photooftheday,71,Other,Neutral
family,71,Other,Neutral
study,70,Other,Neutral
hairstyles,70,Fashion,Neutral
style,69,Fashion,Neutral
design,69,Other,Neutral
cute,68,Other,Positive
gardening,67,Other,Neutral
quotes,66,Other,Neutral
mindset,66,Other,Neutral
esports,65,Other,Neutral
movies,64,Other,Neutral
gamer,62,Other,Neutral
cooking,62,Cooking,Neutral
productivity,61,Other,Neutral
instalike,61,Other,Neutral
nails,61,Other,Neutral
racing,61,Other,Neutral
pc,61,Other,Neutral
artist,61,Other,Neutral
insta,61,Other,Neutral
mobile,60,Other,Neutral
tech,60,Technology,Neutral
fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,60,Other,Neutral
fypage,60,Other,Neutral
football,59,Other,Neutral
breakingnews,59,News & Politics,Neutral
worldevents,58,News & Politics,Neutral
interior,58,Other,Neutral
mobilegames,57,Gaming,Neutral
aesthetic,57,Other,Neutral
reelitfeelit,57,Other,Neutral
grooming,56,Other,Neutral
interiordesign,56,Other,Neutral
explorepage✨,56,Other,Neutral
digitalart,56,Other,Neutral
breaking,55,Other,Neutral
animation,55,Other,Neutral
sports,55,Other,Neutral
streaming,54,Gaming,Neutral
gymmotivation,54,Fitness,Neutral
videogames,52,Gaming,Neutral
consolegames,52,Gaming,Neutral
minimalism,52,Other,Neutral
trendingnow,51,Other,Neutral
instagramreels,51,Other,Neutral
personalcare,51,Other,Neutral
