user_id,openness,extraversion,agreeableness,conscientiousness,neuroticism,personality_label
U0001,0,3,2,1,2,"Influencer Type and sociability, energy from others"
U0002,0,3,2,1,2,"Influencer Type and sociability, energy from others"
U0003,0,3,1,1,1,"Influencer Type and sociability, energy from others"
U0004,0,4,3,1,3,"Influencer Type and sociability, energy from others"
U0005,1,4,3,1,3,"Influencer Type and sociability, energy from others"
U0006,0,3,2,1,2,"Influencer Type and sociability, energy from others"
U0007,0,3,1,1,1,"Influencer Type and sociability, energy from others"
U0008,0,3,2,1,2,"Influencer Type and sociability, energy from others"
U0009,0,3,2,1,2,"Influencer Type and sociability, energy from others"
U0010,1,3,2,4,5,Supportive Personality
U0011,1,2,1,1,1,"Influencer Type and sociability, energy from others"
U0012,0,3,2,1,2,"Influencer Type and sociability, energy from others"
U0013,0,3,2,1,2,"Influencer Type and sociability, energy from others"
U0014,3,3,2,1,2,Adventurous and curious
U0015,0,3,2,1,2,"Influencer Type and sociability, energy from others"
U0016,0,2,1,1,1,"Influencer Type and sociability, energy from others"
U0017,0,7,6,1,6,"Influencer Type and sociability, energy from others"
U0018,0,2,1,0,1,"Influencer Type and sociability, energy from others"
U0019,0,1,1,0,1,"Influencer Type and sociability, energy from others"
U0020,0,1,1,0,1,"Influencer Type and sociability, energy from others"
U0021,1,2,2,0,2,"Influencer Type and sociability, energy from others"
U0022,1,3,1,0,1,"Influencer Type and sociability, energy from others"
U0023,0,1,1,0,1,"Influencer Type and sociability, energy from others"
U0024,0,1,1,0,1,"Influencer Type and sociability, energy from others"
U0025,0,1,1,0,1,"Influencer Type and sociability, energy from others"
U0026,0,1,1,0,1,"Influencer Type and sociability, energy from others"
U0027,0,3,2,0,2,"Influencer Type and sociability, energy from others"
U0028,0,1,1,0,1,"Influencer Type and sociability, energy from others"
U0029,1,3,1,0,1,"Influencer Type and sociability, energy from others"
U0030,0,3,4,0,3,Kind & Empathetic
U0031,0,0,0,0,0,Adventurous and curious
U0032,0,1,1,0,1,"Influencer Type and sociability, energy from others"
U0033,1,1,1,0,1,Adventurous and curious
U0034,1,1,1,0,1,Adventurous and curious
U0035,0,1,1,0,1,"Influencer Type and sociability, energy from others"
U0036,0,2,2,0,2,"Influencer Type and sociability, energy from others"
U0037,0,2,2,0,2,"Influencer Type and sociability, energy from others"
U0038,1,3,2,0,2,"Influencer Type and sociability, energy from others"
U0039,1,2,1,0,1,"Influencer Type and sociability, energy from others"
U0040,0,2,1,0,1,"Influencer Type and sociability, energy from others"
U0041,1,1,1,0,1,Adventurous and curious
U0042,3,4,1,0,1,Creative Explorer
U0043,0,2,1,0,1,"Influencer Type and sociability, energy from others"
U0044,1,1,0,0,0,Adventurous and curious
U0045,0,0,0,0,0,Adventurous and curious
U0046,4,3,1,0,1,Adventurous and curious
U0047,4,1,1,0,1,Adventurous and curious
U0048,1,2,0,0,0,Creative Explorer
U0049,1,0,0,0,0,Adventurous and curious
U0050,2,1,1,0,1,Adventurous and curious
U0051,1,3,1,0,1,"Influencer Type and sociability, energy from others"
U0052,0,0,0,0,0,Adventurous and curious
U0053,0,0,0,0,0,Adventurous and curious
U0054,1,2,2,0,2,"Influencer Type and sociability, energy from others"
U0055,2,2,0,0,0,Adventurous and curious
U0056,1,2,0,0,0,Creative Explorer
U0057,0,0,0,0,0,Adventurous and curious
U0058,0,0,0,0,0,Adventurous and curious
U0059,0,0,0,0,0,Adventurous and curious
U0060,5,4,2,0,2,Adventurous and curious
U0061,0,0,0,0,0,Adventurous and curious
U0062,0,1,0,0,0,Creative Explorer
U0063,4,1,1,0,1,Adventurous and curious
U0064,0,0,0,0,0,Adventurous and curious
U0065,0,2,1,2,0,"Influencer Type and sociability, energy from others"
U0066,0,1,0,0,0,Creative Explorer
U0067,1,0,0,0,0,Adventurous and curious
U0068,0,0,0,0,0,Adventurous and curious
U0069,0,0,0,0,0,Adventurous and curious
U0070,0,0,0,0,0,Adventurous and curious
U0071,1,0,0,0,0,Adventurous and curious
U0072,0,0,0,0,0,Adventurous and curious
U0073,0,0,0,0,0,Adventurous and curious
U0074,0,0,0,0,0,Adventurous and curious
U0075,0,0,0,0,0,Adventurous and curious
U0076,0,2,0,0,0,Creative Explorer
U0077,0,1,0,0,0,Creative Explorer
U0078,0,0,0,0,0,Adventurous and curious
U0079,1,0,0,0,0,Adventurous and curious
U0080,1,1,0,0,0,Adventurous and curious
U0081,0,0,0,0,0,Adventurous and curious
U0082,0,0,0,0,0,Adventurous and curious
U0083,0,2,0,0,0,Creative Explorer
U0084,0,1,0,0,0,Creative Explorer
U0085,0,1,0,0,0,Creative Explorer
U0086,0,2,0,0,0,Creative Explorer
U0087,0,0,0,0,0,Adventurous and curious
U0088,1,1,0,0,0,Adventurous and curious
U0089,2,2,0,0,0,Adventurous and curious
U0090,6,1,0,0,0,Adventurous and curious
U0091,0,0,0,0,0,Adventurous and curious
U0092,0,1,0,0,0,Creative Explorer
U0093,0,0,0,0,0,Adventurous and curious
U0094,0,0,0,0,0,Adventurous and curious
U0095,6,3,0,0,0,Adventurous and curious
U0096,1,2,0,0,0,Creative Explorer
U0097,11,3,0,0,0,Adventurous and curious
U0098,1,1,0,0,0,Adventurous and curious
U0099,3,1,0,0,0,Adventurous and curious
U0100,4,3,1,0,1,Adventurous and curious
U0101,0,0,0,0,0,Adventurous and curious
U0102,1,1,0,0,0,Adventurous and curious
U0103,5,3,1,0,1,Adventurous and curious
U0104,4,1,0,1,1,Adventurous and curious
U0105,4,1,0,0,0,Adventurous and curious
U0106,1,2,0,0,0,Creative Explorer
U0107,3,3,0,0,0,Adventurous and curious
U0108,1,7,5,0,5,"Influencer Type and sociability, energy from others"
U0109,0,3,2,0,2,"Influencer Type and sociability, energy from others"
U0110,0,5,5,0,5,"Influencer Type and sociability, energy from others"
