user_id,openness,extraversion,agreeableness,conscientiousness,neuroticism,personality_label,hashtags_combined
U0001,0,3,2,1,2,"Influencer Type and sociability, energy from others",cats pettraining luckythecat animallove coloradosprings nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
U0002,0,3,2,1,2,"Influencer Type and sociability, energy from others",blackwolfjo تجربة_غير petshopjo عمان كلشي_لحيوانك petcarejo pettraining عمانpets petloversjo nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
U0003,0,3,1,1,1,"Influencer Type and sociability, energy from others",aquaanimalcarecenter oceanside animalhospital veterinarian petrehab petlasertherapy petacupuncture pettraining vet petrehabilitation nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
U0004,0,4,3,1,3,"Influencer Type and sociability, energy from others",1 allamericank9 azdogtraining boardandtrainaz dogtrainerphoenix scottsdaledogs phoenixdogs dogobedience dogtrainingtips dogbehavior dogtraininglife gooddog obedientdog pettraining doglovers instadog dogsofinstagram puppytraining trainyourdog doglife rescuedogtraining nan nan nan nan nan nan nan nan nan nan
U0005,1,4,3,1,3,"Influencer Type and sociability, energy from others",dogs dogtraining adestramento adestramentopositivo adestramentocanino ensinopet comportamentocanino treinodecaes dogbehavior pettraining caesdobrasil dogsofinstagram doglover dogtips treinamentocanino vidadecao rotinapet educacaocanina dogtrainer cachorrosdobrasil doglifestyle petlover cachorrosemdesespero ansiedadecanina caocomportado donodecao caeseducados dogobedience ensinodecomandos nan nan
U0006,0,3,2,1,2,"Influencer Type and sociability, energy from others",pettraining dogtrainingtips cattraining101 positivereinforcement petcareguide happypets petparents trainingyourpets furryfriends petlovers nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
U0007,0,3,1,1,1,"Influencer Type and sociability, energy from others",interactivefeeder petfeeder dogtoys petenrichment smartpets alidrop alidroppets petgadgets doglife pettraining automaticfeeder petplay mentalstimulation dogmom dogdad home_haven_goal dropshippingpets petessentials nan nan nan nan nan nan nan nan nan nan nan nan nan
U0008,0,3,2,1,2,"Influencer Type and sociability, energy from others",benjee ทิชชู่เปียกสุนัข ทิชชู่สำหรับสัตว์เลี้ยง อุปกรณ์สุนัข ของใช้หมาแมว อุปกรณ์แมว ของใช้สุนัข อุปกรณ์สัตว์เลี้ยง ของใช้สัตว์เลี้ยง แพมเพิร์ส แพมเพิส แพมเพิสสุนัข โอบิสุนัข โอบิหมา pets petslover petstagram petsclub cutepetclub pettraining catlover catsofthailand catsofinstagram dusitcentralpark dusitcentralparkopening nan nan nan nan nan nan
U0009,0,3,2,1,2,"Influencer Type and sociability, energy from others",magicpetgate petsafety petbarrier petgate doggate catgate petprotection homewithpets petparents petlovers petessentials dogowners catowners safehome petfriendlyhome furbabylife petaccessories petproducts petcare doglife catlife pethousehold pettraining homeorganization easyinstall petsolutions petcontrol indoorpetgate landingstreamfinds petliving nan
U0010,1,3,2,4,5,Supportive Personality,dogtraining braintrainingfordogs dogbehavior positivereinforcement smartdog dogobedience dogparents trainyourdog dogtrainingtips dogcoach dogintelligence dogskills puppytraining dogeducation pettraining dogowners dogmindset happydog doglife obediencetraining dogcaretips doglifestyle dogproblems brainpowerdog calmdog dogmotivation dogfocus doglover peteducation nan nan
U0011,1,2,1,1,1,"Influencer Type and sociability, energy from others",fyp petaccessories petgroomers pettraining petfoods instagood instadaily nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan fyp instagood puppy shitz keralagram petaccessories pettraining petgroomingsalon🐾✂️❤️ nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
U0012,0,3,2,1,2,"Influencer Type and sociability, energy from others",catslife petlove pettraining catloversworld nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
U0013,0,3,2,1,2,"Influencer Type and sociability, energy from others",adunashville boardandtraindogtraining obediencedogtraining basicobedience alldogsunleashednashville nashvilletrainer k9 dogobedience obediencetraining nashville nashvilletn nashvilledogs dogschool puppyschool pettraining k9trainer k9training puppylover puppytransformation puppytraining puppytrainer doglife dogtraining dogtrainer dogtrainers minigoldendoodle archie nan nan nan nan
U0014,3,3,2,1,2,Adventurous and curious,dogtraining puppytraining positivereinforcement obediencetraining dogbehavior training dog caninetraining pettraining dogobedience servicedog leashtraining doglife puppylove doglovers dogeducation luxuryservice highendexperience premiumservice luxurylifestyle exclusiveservice luxuryliving fivestarservice luxurytravel personalconcierge bespokeservice luxurybrand hightouchservice eliteexperuence luxuryamenities nan
U0015,0,3,2,1,2,"Influencer Type and sociability, energy from others",alldogsunleashed carrollton dallastrainer k9handler k9dogs k9 dogobedience obediencetraining fortworth dallastx dallasdogs dallastexas dallas texasdogs texas dogschool puppyschool pettraining k9trainer k9training puppylover puppytransformation puppytraining puppytrainer dogtricks doglife dogtrainingtips dogtraining dogtrainer dogtrainers nan
U0016,0,2,1,1,1,"Influencer Type and sociability, energy from others",ad dogtraining dogpads petessentials puppylove dogowners cleanhome reusablepads washablepads petcaretips dogproducts amazonfinds pettraining musthavepets homedecorcompatible nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
U0017,0,7,6,1,6,"Influencer Type and sociability, energy from others",pets pet dogs dog cats animals cute cat puppy doglove animal doglovers petlovers doglife catlover puppylove puppies catlovers cmfmag furrybaby pettraining dogsofcanada militarypets puppytrainingtips nan nan nan nan nan nan nan
